,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
210,Kavaratti,92,IN,9/8/17 22:55,100,10.57,72.64,78.53,10.67
211,Kem,92,RU,9/8/17 22:55,100,64.96,34.58,48.47,13.13
212,Kempten (Allgaeu),0,DE,9/8/17 22:20,100,47.73,10.31,50,2.24
213,Kensington,0,AU,9/8/17 22:00,41,-33.92,151.22,66.2,14.99
214,Kharp,68,RU,9/8/17 22:55,75,66.8,65.81,40.91,11.79
215,Kindu,56,CD,9/8/17 22:55,92,-2.95,25.95,71.42,2.73
216,Kjopsvik,0,NO,9/8/17 21:50,66,68.1,16.37,51.8,13.87
217,Klaksvik,92,FO,9/8/17 22:20,76,62.23,-6.59,51.8,20.8
218,Kolaras,0,IN,9/8/17 22:55,62,25.23,77.6,92.57,6.64
219,Kolpashevo,48,RU,9/8/17 22:55,76,58.31,82.91,47.39,10
220,Komsomolskiy,0,UZ,9/8/17 22:30,30,40.43,71.72,82.4,6.93
221,Koslan,68,RU,9/8/17 22:55,79,63.46,48.9,44.96,10.11
222,Kozhva,68,RU,9/8/17 22:55,80,65.11,57.05,40.55,7.09
223,Krasnosel?kup,20,RU,9/8/17 22:55,100,65.7,82.47,45.41,11.68
224,Kristiansund,0,NO,9/8/17 22:20,71,63.11,7.73,53.6,5.82
225,Kruisfontein,0,ZA,9/8/17 22:55,93,-34,24.73,56.93,6.98
226,Kunda,0,IN,9/8/17 22:55,91,25.72,81.52,91.31,5.97
227,Kutum,0,SD,9/8/17 22:55,57,14.2,24.67,74.75,3.85
228,La Palma,75,US,9/8/17 22:35,82,33.85,-118.05,71.6,3.36
229,La Peca,36,PE,9/8/17 22:55,95,-5.61,-78.44,62.42,1.72
230,Lagdo,20,CM,9/8/17 22:00,100,9.05,13.73,69.8,4.41
231,Lagoa,88,PT,9/8/17 22:55,100,39.05,-27.98,71.51,10.89
232,Lagos,40,NG,9/8/17 22:00,94,6.45,3.4,75.2,3.36
233,Laguna,1,US,9/8/17 22:40,72,38.42,-121.42,73.4,5.82
234,Lamu,88,KE,9/8/17 22:55,85,-2.27,40.9,77.63,14.25
235,Lapeer,1,US,9/8/17 22:15,93,43.05,-83.32,51.8,3.62
236,Lauria,88,IT,9/8/17 22:55,100,40.05,15.84,59.9,1.72
237,Lebrija,0,ES,9/8/17 22:30,63,36.92,-6.08,68,2.24
238,Lebu,8,CL,9/8/17 22:55,100,-37.62,-73.65,49.01,24.2
239,Leshukonskoye,88,RU,9/8/17 22:55,66,64.9,45.76,47.21,9.33
240,Liepaja,92,LV,9/8/17 22:20,93,56.52,21.02,59,8.05
241,Loandjili,90,CG,9/8/17 22:00,88,-4.76,11.86,73.4,2.24
242,Lodja,92,CD,9/8/17 22:55,99,-3.48,23.43,69.35,2.28
243,Longyearbyen,90,SJ,9/8/17 21:50,100,78.22,15.64,37.4,4.7
244,Las Minas,92,PA,9/8/17 22:55,96,7.8,-80.75,74.75,3.4
245,Lowicz,0,PL,9/8/17 22:30,76,52.11,19.95,55.4,3.36
246,Lubango,0,AO,9/8/17 22:55,60,-14.92,13.49,61.25,3.74
247,Lucapa,0,AO,9/8/17 22:55,89,-8.42,20.74,70.25,0.94
248,Luderitz,0,NA,9/8/17 22:00,87,-26.65,15.16,51.8,4.7
249,Lugazi,20,UG,9/8/17 22:00,94,0.38,32.92,68,3.36
250,Luz,0,BR,9/8/17 22:55,87,-19.8,-45.69,57.2,9.44
251,Lyuban,8,BY,9/8/17 22:55,87,52.8,28,57.56,10.78
252,Machiques,92,VE,9/8/17 22:55,99,10.06,-72.55,66.56,3.62
253,Madaoua,76,NE,9/8/17 22:55,94,14.07,5.96,70.88,3.96
254,Mahebourg,20,MU,9/8/17 22:00,64,-20.41,57.7,75.2,17.22
255,Mao,40,ES,9/8/17 22:30,83,39.89,4.27,73.4,10.29
256,Makariv,0,UA,9/8/17 22:30,93,50.46,29.81,55.4,4.47
257,Malanje,20,AO,9/8/17 22:55,95,-9.54,16.34,63.05,3.62
258,Maloy,12,NO,9/8/17 22:20,71,61.94,5.11,53.6,6.93
259,Mamallapuram,40,IN,9/8/17 22:30,70,12.63,80.17,89.6,5.82
260,Manga,48,BF,9/8/17 22:55,89,11.66,-1.07,75.83,6.87
261,Mangrol,12,IN,9/8/17 22:55,76,21.12,70.12,85.28,10.45
262,Manicore,32,BR,9/8/17 22:55,86,-5.81,-61.3,77.45,2.06
263,Maputo,75,MZ,9/8/17 22:00,100,-25.97,32.59,68,2.24
264,Mar del Plata,92,AR,9/8/17 22:53,99,-38,-57.56,51.62,10.56
265,Maraa,20,BR,9/8/17 22:55,97,-1.83,-65.37,70.61,2.95
266,Maralal,0,KE,9/8/17 22:55,88,1.1,36.7,64.67,3.62
267,San Juan,88,PE,9/8/17 22:55,100,-15.37,-75.16,56.93,12.24
268,Margate,0,GB,9/8/17 22:20,81,51.38,1.39,51.8,4.7
269,Mariakani,92,KE,9/8/17 22:55,82,-3.86,39.47,74.93,11.56
